line_length,word_count,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,line_length_trans,verb_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,word_count_trans,adj_percentage_trans,number_percentage_trans,proper_noun_percentage_trans
192,27,14.7,2.9000000000000004,2.1,4.7,2.9000000000000004,11.8,1.6917263851493571,3.8340579025361627,1.449137674618944,2.16794833886788,1.1673733801794233,1.4260431471424087,1.4260431471424087,3.4351128074635335
117,2,0.0,0.0,0.0,76.9,0.0,50.0,1.609972975545091,0.0,0.0,8.769264507357502,1.5438056782883063,0.0,0.0,7.0710678118654755
43,7,0.0,25.0,2.3,7.000000000000001,12.5,0.0,1.4566219347661553,0.0,1.51657508881031,2.6457513110645907,1.214814044039067,2.924017738212866,2.320794416806389,0.0
272,37,8.7,6.5,1.7999999999999998,3.3000000000000003,0.0,30.4,1.7516885468169912,2.949576240750525,1.3416407864998738,1.8165902124584952,1.126811819999242,1.866255578408624,0.0,5.513619500836088
90,19,15.8,10.5,12.2,0.0,0.0,0.0,1.5682823361402,3.9749213828703582,3.492849839314596,0.0,0.0,2.1897595699439445,0.0,0.0
25,3,0.0,0.0,0.0,0.0,0.0,100.0,1.379729661461215,0.0,0.0,0.0,0.0,0.0,0.0,10.0
271,41,11.4,6.800000000000001,4.1000000000000005,1.1,0.0,22.7,1.7510434757409536,3.3763886032268267,2.024845673131659,1.0488088481701516,1.009576582776887,1.8945364743718192,0.0,4.764451699828638
20,4,0.0,0.0,0.0,0.0,40.0,40.0,1.3492828476735634,0.0,0.0,0.0,0.0,0.0,3.4199518933533937,6.324555320336759
28,5,0.0,0.0,0.0,3.6,14.3,57.1,1.3954548940149718,0.0,0.0,1.8973665961010275,1.1366591441393648,0.0,2.4272360429169444,7.556454194925025
93,15,12.5,12.5,5.4,1.1,0.0,25.0,1.5734331462265458,3.5355339059327378,2.32379000772445,1.0488088481701516,1.009576582776887,2.320794416806389,0.0,5.0
53,6,0.0,0.0,1.9,3.8,0.0,0.0,1.487399348620308,0.0,1.378404875209022,1.9493588689617927,1.1428213880435563,0.0,0.0,0.0
19,3,0.0,0.0,0.0,0.0,0.0,100.0,1.3423796509621049,0.0,0.0,0.0,0.0,0.0,0.0,10.0
55,8,11.1,22.2,3.6,1.7999999999999998,0.0,0.0,1.4929190815424387,3.331666249791536,1.8973665961010275,1.3416407864998738,1.0605404816140187,2.810504757710476,0.0,0.0
20,2,0.0,0.0,0.0,5.0,0.0,66.7,1.3492828476735634,0.0,0.0,2.23606797749979,1.174618943088019,0.0,0.0,8.167006795638168
84,14,14.3,0.0,4.8,0.0,0.0,28.6,1.557499545529136,3.7815340802378077,2.1908902300206643,0.0,0.0,0.0,0.0,5.347896782848375
7,1,0.0,0.0,0.0,0.0,0.0,0.0,1.214814044039067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,35,13.5,13.5,3.3000000000000003,1.2,0.0,2.7,1.7306199438237289,3.6742346141747673,1.8165902124584952,1.0954451150103321,1.0183993761470242,2.381101577952299,0.0,1.6431676725154984
46,8,0.0,0.0,2.2,4.3,20.0,40.0,1.466478780211681,0.0,1.4832396974191326,2.073644135332772,1.1570359301034678,0.0,2.7144176165949063,6.324555320336759
10,3,0.0,0.0,10.0,0.0,66.7,0.0,1.2589254117941673,0.0,3.1622776601683795,0.0,0.0,0.0,4.055477018001903,0.0
11,2,0.0,0.0,0.0,0.0,0.0,50.0,1.2709816152101407,0.0,0.0,0.0,0.0,0.0,0.0,7.0710678118654755
93,15,5.3,10.5,3.2,4.3,0.0,5.3,1.5734331462265458,2.3021728866442674,1.7888543819998317,2.073644135332772,1.1570359301034678,2.1897595699439445,0.0,2.3021728866442674
411,61,8.799999999999999,16.2,3.9,1.7000000000000002,2.9000000000000004,19.1,1.8255098565146033,2.966479394838265,1.9748417658131499,1.3038404810405297,1.0544958918547662,2.5302979959052476,1.4260431471424087,4.370354676682432
31,5,0.0,0.0,0.0,3.2,14.3,57.1,1.4097307383555406,0.0,0.0,1.7888543819998317,1.1233497625229583,0.0,2.4272360429169444,7.556454194925025
